Port_IDs,PnL,Sharpe Ratio,Max Drawdown (MDD),Win Rate (%),Total Positions,Win Positions,Score,Rank
3942630767220672256,6611.89848042,0.19379784820977414,-0.9825575352122136,38.29744415375327,4969,1903.0,2842.7770203532136,23.0
3925368433214965504,6789.43673863,0.5117569061380005,-0.04033723531142119,33.33333333333333,1458,486.0,2771.194889190508,24.0
3910983669796782848,6761.64804825,0.45703964319749313,-0.24108051153992882,42.8125,640,274.0,2740.7588311929594,25.0
4026179081117855488,6796.18836,0.12934509834428753,-2.061991693070214,23.3502538071066,197,46.0,2727.784198290925,26.0
3818233536529843712,6419.60790714,0.1738133237176824,-0.9319387063687505,33.919774806474315,1421,482.0,2622.8792618144103,27.0
3976088733682659585,5901.15009982,0.24596465909358345,-0.7841803174853427,43.56787491115849,2814,1226.0,2491.84740430796,28.0
3999845462424248576,5843.15260681,0.48318757052001166,-0.27052287154718113,43.490054249547924,3318,1443.0,2490.404009845066,29.0
3953764659057081857,6048.86608919,0.08715499840343294,-0.2957804453586723,30.874785591766724,583,180.0,2443.747539293874,30.0
4011626972687000576,5483.14982082,0.28986976848194,-0.5939680090318431,38.408190224570674,6056,2326.0,2433.6285273034587,31.0
3978449781300392193,5888.6560088,0.3181308484833759,-0.4276168890250245,43.87755102040816,784,344.0,2398.7333529786265,32.0
3951723256343550465,5260.02286389,0.13297956891898033,-inf,35.24804177545692,3447,1215.0,2232.5986477817673,33.0
4034359562055356161,5284.65441593,-0.03394183687980175,-0.3013641566328996,48.93617021276596,799,391.0,2162.7388178634897,34.0
4031173908980084736,5360.42572991,0.6114524643580809,-0.01752269258034278,37.77777777777778,225,85.0,2160.409283258863,35.0
3966142151544441601,4883.80077594,0.21384069623819546,-181.3815097958515,53.20910973084886,1932,1028.0,2067.0262845310413,36.0
3977078013600312321,4622.3514376,0.06488605451985206,-3.853166191003474,32.64248704663213,5018,1638.0,2019.2885382656825,37.0
3953433416230728705,4924.76177998,0.0016615621323045249,-0.3340625368046596,20.872865275142317,527,110.0,1985.0797835156684,38.0
4037282461943784704,4760.3656195,0.34699209242693896,-0.49115832863694486,26.984126984126984,504,136.0,1923.2471708245537,39.0
4033614723417828608,4602.23981649,0.05530788966042234,-inf,22.28682170542636,516,115.0,1856.8698833039832,40.0
